gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,lineage
LINC00305,-0.04856551711313636,0.09388189591774096,0.47728934346880725,12.635111,False,LSEC
GTSCR1,,1.0,1.0,0.0,False,LSEC
LINC00683,0.0457576269338347,0.11449579587298186,0.5249366029497761,13.846663,False,LSEC
SDCBP2-AS1,-0.032537096523927785,0.26186183284015024,0.7985397941379847,2.14851,False,LSEC
UBOX5-AS1,,1.0,1.0,0.0,False,LSEC
LINC00654,0.0019006028206493633,0.9477578825756686,1.0,14.310589,False,LSEC
CASC20,,1.0,1.0,0.0,False,LSEC
SNAP25-AS1,0.0613841958964968,0.03415854619872664,0.27664925529832196,13.425633,False,LSEC
LINC00687,,1.0,1.0,0.0,False,LSEC
ISM1-AS1,,1.0,1.0,0.0,False,LSEC
LINC00237,,1.0,1.0,0.0,False,LSEC
LINC00261,0.21699706338004324,3.695521128407548e-14,4.5560496197367345e-12,17.983706,False,LSEC
LINC00656,,1.0,1.0,0.0,False,LSEC
ZNF337-AS1,0.0550062791252441,0.05772796949290094,0.38921279431541805,14.080774,False,LSEC
FAM182B,-0.008456890185222068,0.7706281305371084,1.0,14.353551,False,LSEC
HM13-AS1,-0.04521019382680257,0.11890124672783547,0.5344363329485522,14.64682,False,LSEC
ITCH-AS1,-0.0015502313945862012,0.9573783987999722,1.0,13.712572,False,LSEC
FAM83C-AS1,,1.0,1.0,0.0,False,LSEC
HNF4A-AS1,,1.0,1.0,0.0,False,LSEC
LINC00494,,1.0,1.0,0.0,False,LSEC
ZFAS1,0.33426644754600787,1.7625147800165752e-32,7.605251275771522e-30,2.5382144,True,LSEC
TRERNA1,,1.0,1.0,0.0,False,LSEC
GNAS-AS1,-0.02782399417940104,0.3373534261321131,0.8795649750816121,13.209207,False,LSEC
LINC00686,,1.0,1.0,0.0,False,LSEC
LINC00659,,1.0,1.0,0.0,False,LSEC
OGFR-AS1,,1.0,1.0,0.0,False,LSEC
HAR1B,,1.0,1.0,0.0,False,LSEC
HAR1A,,1.0,1.0,0.0,False,LSEC
CIRBP-AS1,0.022512140745151753,0.4376332174904953,1.0,13.808039,False,LSEC
CSNK1G2-AS1,,1.0,1.0,0.0,False,LSEC
CACTIN-AS1,,1.0,1.0,0.0,False,LSEC
RAB11B-AS1,-0.02929989697368473,0.3123419977966515,0.8506708394160191,2.0278282,False,LSEC
LINC00663,0.04408723126054423,0.1283526242565614,0.5566246971528267,15.257069,False,LSEC
LINC00664,0.02723378824226223,0.3477056189521957,0.8961616445087297,13.883268,False,LSEC
LINC00662,-0.0019766558714739715,0.9456705700626881,1.0,1.1203039,False,LSEC
SCGB1B2P,-0.032205762240820855,0.2667535618203946,0.8038651969286844,15.172094,False,LSEC
UPK1A-AS1,,1.0,1.0,0.0,False,LSEC
LINC00665,-0.05098211130969397,0.07862283898851037,0.44639151346766087,2.5380194,False,LSEC
