gene,is_lncRNA,hvg_standard,hvg_forced,mean_raw,var_raw,index_of_dispersion,n_detected
RP1-150O5.3,False,False,False,0.000157,0.000157,0.999849,24.0
ID3,False,True,True,0.093341,0.509241,5.455712,6363.0
MDS2,True,False,True,0.003494,0.003809,1.090322,511.0
RPL11,False,False,False,14.404827,114.04452,7.917104,149993.0
TCEB3,False,False,False,0.069226,0.073716,1.06486,9904.0
RP5-886K2.3,False,False,False,0.018072,0.018597,1.029088,2692.0
PITHD1,False,False,False,0.139861,0.142312,1.017525,19782.0
LYPLA2,False,False,False,0.094599,0.09547,1.009204,13714.0
GALE,False,False,False,0.023394,0.024761,1.058428,3433.0
HMGCL,False,False,False,0.065974,0.068033,1.031201,9590.0
FUCA1,False,False,False,0.110429,0.324353,2.937195,10935.0
CNR2,False,False,False,0.010232,0.011216,1.096117,1489.0
PNRC2,False,False,False,0.019337,0.019789,1.023382,2890.0
SRSF10,False,False,False,0.123677,0.131651,1.064479,17239.0
MYOM3,False,True,True,6.6e-05,6.6e-05,0.999941,10.0
IFNLR1,False,False,False,0.004175,0.004486,1.074325,613.0
GRHL3,False,False,False,2e-05,2e-05,0.999987,3.0
STPG1,False,False,False,0.005742,0.005866,1.021662,865.0
NIPAL3,False,False,False,0.07658,0.083039,1.084344,10815.0
RCAN3,False,False,False,0.121297,0.16065,1.324429,15196.0
RP4-594I10.3,False,False,False,0.015594,0.016242,1.04158,2311.0
NCMAP,False,False,False,0.000485,0.000511,1.053576,72.0
SRRM1,False,False,False,0.581768,0.765818,1.316363,60956.0
CLIC4,False,False,False,0.024607,0.032785,1.332354,3247.0
RUNX3,False,False,False,0.496116,0.851672,1.716679,47592.0
RP11-84D1.1,False,False,False,4.6e-05,4.6e-05,0.999961,7.0
RP11-84D1.2,False,False,False,2e-05,2e-05,0.999987,3.0
RP4-799D16.1,False,True,True,0.001114,0.001152,1.034187,167.0
SYF2,False,False,False,0.503438,0.606235,1.204189,56431.0
C1orf63,False,False,False,0.793155,1.164703,1.468443,73636.0
RP3-465N24.6,False,True,True,0.001055,0.001067,1.011374,160.0
RHD,False,False,False,0.002209,0.002296,1.039341,331.0
TMEM50A,False,False,False,0.49982,0.570693,1.141797,57293.0
RHCE,False,False,False,0.000918,0.000956,1.041946,137.0
TMEM57,False,False,False,0.057637,0.061145,1.060874,8298.0
LDLRAP1,False,False,False,0.058325,0.062291,1.068003,8370.0
RP11-70P17.1,False,False,False,0.002255,0.002289,1.015194,341.0
MAN1C1,False,False,False,0.01971,0.031042,1.574912,2561.0
RP1-187B23.1,False,False,False,0.0082,0.008697,1.060552,1213.0
SEPN1,False,False,False,0.027668,0.030075,1.087004,4002.0
RP1-317E23.3,False,False,False,0.000996,0.001022,1.025326,150.0
MTFR1L,False,False,False,0.042331,0.043699,1.032312,6225.0
AL020996.1,False,False,False,0.001658,0.001682,1.014159,251.0
AUNIP,False,False,False,0.000616,0.000616,0.99939,94.0
RP1-125I3.2,False,False,False,0.001219,0.001231,1.00954,185.0
PAQR7,False,False,False,0.01385,0.015363,1.109205,1999.0
STMN1,False,True,True,0.153954,0.284214,1.846101,17367.0
PAFAH2,False,False,False,0.039499,0.042685,1.080654,5683.0
EXTL1,False,False,False,0.000164,0.000164,0.999843,25.0
SLC30A2,False,False,False,0.000531,0.000531,0.999476,81.0
TRIM63,False,True,True,0.000184,0.000184,0.999823,28.0
PDIK1L,False,False,False,0.01482,0.015374,1.037376,2209.0
FAM110D,False,False,False,0.000721,0.000839,1.162923,102.0
ZNF593,False,False,False,0.109695,0.128917,1.175224,14713.0
RP11-96L14.7,False,False,False,3.9e-05,3.9e-05,0.999967,6.0
CNKSR1,False,False,False,0.001678,0.001911,1.138954,242.0
CATSPER4,False,False,False,2e-05,2e-05,0.999987,3.0
CEP85,False,False,False,0.009085,0.009291,1.022668,1365.0
SH3BGRL3,False,False,False,4.143354,17.527346,4.230231,135922.0
UBXN11,False,False,False,0.088222,0.106816,1.210768,11720.0
CD52,False,False,False,3.206307,17.671775,5.511567,106548.0
AIM1L,False,True,True,0.001245,0.001257,1.009288,189.0
ZNF683,False,True,True,0.023525,0.035597,1.513124,2838.0
LIN28A,False,False,False,9.2e-05,9.2e-05,0.999915,14.0
DHDDS,False,False,False,0.03847,0.039377,1.023557,5690.0
RP3-476K8.3,False,True,True,0.000125,0.000138,1.105146,18.0
HMGN2,False,False,False,0.820174,1.340596,1.634526,74950.0
RPS6KA1,False,False,False,0.14675,0.161962,1.103659,19899.0
RP5-968P14.2,False,False,False,0.000577,0.000603,1.044885,86.0
ARID1A,False,False,False,0.196245,0.234072,1.192753,25165.0
PIGV,False,False,False,0.030919,0.032585,1.053887,4530.0
ZDHHC18,False,True,True,0.065791,0.069853,1.061744,9439.0
SFN,False,True,True,0.000282,0.000282,0.999725,43.0
GPN2,False,False,False,0.04003,0.040893,1.021545,5929.0
GPATCH3,False,False,False,0.024908,0.025363,1.018256,3722.0
NUDC,False,False,False,0.292234,0.325426,1.113578,37212.0
NR0B2,False,False,False,0.00078,0.001409,1.805955,87.0
C1orf172,False,False,False,0.001042,0.001107,1.061858,155.0
TRNP1,False,False,False,0.002124,0.002591,1.220106,295.0
FAM46B,False,False,False,0.000177,0.000177,0.99983,27.0
SLC9A1,False,False,False,0.01935,0.019552,1.010467,2909.0
WDTC1,False,False,False,0.051986,0.054148,1.041577,7576.0
