gene,lineage,rho_main,rho_roots_median,rho_roots_min,rho_roots_max,sign_consistent_frac
FAM66D,LSEC,,,,,0.0
FAM66E,LSEC,0.000734433406353963,0.020074513107008328,-0.03292709771820268,0.03610964247906986,0.85
FAM74A4,LSEC,0.017816356042731126,-0.00817570866513363,-0.03548657550558231,0.018536893631725657,0.65
FAM74A6,LSEC,0.0008028018243494193,-0.0006969982861891093,-0.04083326752562962,0.01722183300525521,0.5
FAM83A-AS1,LSEC,-0.03415115339545928,-0.01872805186202606,-0.056796183424706485,0.012240556772566052,0.85
FAM83C-AS1,LSEC,,,,,0.0
FAM85B,LSEC,0.02785443492794054,0.002833122040693913,-0.056889166446411586,0.05603276991807802,0.55
FAM87A,LSEC,,,,,0.0
FAM87B,LSEC,,,,,0.0
FAM99B,LSEC,-0.006328076990726426,0.008819540571704938,-0.0651315394637707,0.036608769955278134,0.65
FARP1-AS1,LSEC,,,,,0.0
FBXL19-AS1,LSEC,0.012285390751572402,-0.008671363878327901,-0.0343315719171943,0.033539916356641185,0.55
FENDRR,LSEC,,,,,0.0
FGD5-AS1,LSEC,0.034599200797859476,0.032351266868955175,-0.0009515211913216223,0.053116010078431725,0.9
FGF13-AS1,LSEC,-0.04063864848491929,0.010282067688955485,-0.040149026214016656,0.040516242917193634,0.55
FGF14-AS2,LSEC,0.000336122303881226,-0.021124227641293878,-0.03362697312992924,0.00483198704285484,0.95
FLG-AS1,LSEC,,,,,0.0
FLNB-AS1,LSEC,,,,,0.0
FOXD2-AS1,LSEC,,,,,0.0
FOXN3-AS1,LSEC,0.0439716694719322,0.049641384675604125,0.02955323966979103,0.08119980884068585,1.0
FOXN3-AS2,LSEC,,,,,0.0
FOXP1-AS1,LSEC,,,,,0.0
FRY-AS1,LSEC,0.026512968378328432,0.011431909165012896,-0.006677648152049038,0.040213920646742306,0.75
FTX,LSEC,0.014982751332616449,0.04507925660155291,-0.09622062246028915,0.17288903821782453,0.8
GAS5-AS1,LSEC,0.001746143719545954,-0.013511267084236675,-0.03464018690453611,0.007393297355655951,0.85
GAS6-AS1,LSEC,,,,,0.0
GATA3-AS1,LSEC,,,,,0.0
GATA6-AS1,LSEC,-0.024144445027023027,-0.020000443833305105,-0.03715466592809178,0.02333088433119372,0.8
GDNF-AS1,LSEC,0.06892070539558445,0.048485173024164135,-0.03189630408876494,0.06612416808610254,0.75
GFOD1-AS1,LSEC,,,,,0.0
GGNBP1,LSEC,,,,,0.0
GHRLOS,LSEC,-0.024052466569018906,-0.032706904445477254,-0.05108727428944735,-0.0103963583743445,1.0
GK-AS1,LSEC,,,,,0.0
GNAS-AS1,LSEC,-0.033906342260007966,-0.017381590617043793,-0.05630656115380384,0.01848324072657474,0.9
GNG12-AS1,LSEC,0.017574047661086008,0.002544903150456021,-0.036744389319711614,0.05484315460242015,0.5
GOLGA8M,LSEC,,,,,0.0
GPR158-AS1,LSEC,,,,,0.0
GRIK1-AS1,LSEC,0.0461489361280554,0.020055990507546764,-0.022570519046581344,0.05303333282260295,0.85
GRM7-AS1,LSEC,,,,,0.0
GRPEL2-AS1,LSEC,,,,,0.0
GS1-24F4.2,LSEC,,,,,0.0
GS1-279B7.1,LSEC,,,,,0.0
GSN-AS1,LSEC,-0.05226717741885704,-0.012424165124154543,-0.05287920525748535,0.020686540945636628,0.6
GTSCR1,LSEC,,,,,0.0
HAND2-AS1,LSEC,-0.030078967099724466,-0.012123500774447998,-0.056874388976401576,0.03395724939190205,0.7
HAR1A,LSEC,,,,,0.0
HAR1B,LSEC,,,,,0.0
HAS2-AS1,LSEC,,,,,0.0
HCFC1-AS1,LSEC,,,,,0.0
HCG11,LSEC,0.020287002890341972,0.011451807735141928,-0.017686492473698148,0.027267301724057086,0.6
HCG14,LSEC,,,,,0.0
HCG15,LSEC,,,,,0.0
HCG17,LSEC,,,,,0.0
HCG18,LSEC,0.03766358682333938,0.04972515463316488,-0.07346209416359292,0.11791225848548528,0.75
HCG20,LSEC,,,,,0.0
HCG21,LSEC,,,,,0.0
HCG22,LSEC,,,,,0.0
HCG24,LSEC,,,,,0.0
HCG25,LSEC,0.0396918943791672,0.024855721416730203,-0.018035634668814245,0.0415100372939502,0.9
HCG27,LSEC,0.01771049622092861,0.0076490650727513675,-0.014257095562987196,0.04426560182855962,0.8
HCG9,LSEC,0.041467715878686064,0.03506124172884703,-0.012622035836107767,0.05048199089199179,0.7
HDAC11-AS1,LSEC,0.013709423585273977,0.03341671998910532,0.0013464612449822658,0.04394359881351213,1.0
HEXA-AS1,LSEC,-0.019168252759278435,-0.005690902910014424,-0.03216831980590184,0.018828156593813247,0.65
HHIP-AS1,LSEC,0.025745302664008058,0.02986915536038079,0.014252371214676401,0.04340015792106994,1.0
HIF1A-AS1,LSEC,-0.012778643716380296,0.005328396688320114,-0.05098127172933683,0.03376931993557501,0.6
HLA-DQB1-AS1,LSEC,,,,,0.0
HM13-AS1,LSEC,-0.04703754971575965,-0.047027202409384516,-0.07065849257172206,-0.006930271577964844,1.0
HMGA1P4,LSEC,0.006218125451081246,-0.029324387805216068,-0.06367189267741542,0.007731457506191796,0.8
HMGN3-AS1,LSEC,-0.009529377707435185,-0.024247644334612156,-0.07045013508150637,0.07288220914366685,0.7
HNF1A-AS1,LSEC,,,,,0.0
HNF4A-AS1,LSEC,0.05189996071568005,0.05202236628340572,0.051899960715680066,0.05275679968975969,1.0
HOTAIRM1,LSEC,0.03506142102537932,-0.0002769372744951871,-0.03854058603833342,0.06479678704926885,0.5
HOTTIP,LSEC,,,,,0.0
HOXA-AS2,LSEC,-0.03863121103388901,0.0016388854726019867,-0.044433136745096045,0.039414510575866875,0.5
HOXA-AS3,LSEC,,,,,0.0
HOXA10-AS,LSEC,,,,,0.0
HOXA11-AS,LSEC,,,,,0.0
HOXB-AS1,LSEC,0.04688892129100342,0.021716978124603735,-0.0073932088844295,0.04941819198778107,0.8
HOXB-AS2,LSEC,-0.0097639420211341,-0.03970438572199847,-0.06695136057064319,-0.002343152189601371,1.0
HOXB-AS3,LSEC,-0.021238720550168184,-0.04352281922861313,-0.07231532728987831,0.012785354204226504,0.85
HOXC-AS2,LSEC,,,,,0.0
HOXD-AS2,LSEC,,,,,0.0
HULC,LSEC,-0.005579920112599056,-0.02584855536844986,-0.060133665362880076,0.022398470723021143,0.75
HYI-AS1,LSEC,-0.029254930686432864,0.004345397654260948,-0.05459288320564459,0.033661531124556644,0.55
IDH1-AS1,LSEC,-0.05485836315174567,-0.04215907637406226,-0.05544642424924787,0.0010918958839661358,0.9
IDI2-AS1,LSEC,-0.000492226864870445,0.004802709281303417,-0.0046637146469073985,0.04027337056242779,0.85
IFNG-AS1,LSEC,,,,,0.0
IGBP1-AS1,LSEC,-0.050920716173874774,-0.01646354885910134,-0.05434807207019327,0.022522624461521538,0.75
IGBP1-AS2,LSEC,,,,,0.0
IGFBP7-AS1,LSEC,0.043331570974883826,0.03476318123408759,-0.04883982152253855,0.0418627041621759,0.8
IL12A-AS1,LSEC,,,,,0.0
IL20RB-AS1,LSEC,,,,,0.0
IL21-AS1,LSEC,,,,,0.0
IL21R-AS1,LSEC,0.007189850341540717,-0.0019126835696536104,-0.017897634171700184,0.03717875784849263,0.55
INHBA-AS1,LSEC,0.024526001157648605,0.01590856815180121,-0.012949604937161498,0.03846530332650378,0.9
INTS6-AS1,LSEC,0.02015742247765262,0.0021009221695620726,-0.05203291844358555,0.08430603580851266,0.55
IPO9-AS1,LSEC,0.06284494114139115,0.05997385379963904,0.01914040631344485,0.0698328153614984,1.0
IQCH-AS1,LSEC,-0.02814628469861815,-0.016404457513946393,-0.0528411989847061,0.039793275696945005,0.7
ISM1-AS1,LSEC,,,,,0.0
ITCH-AS1,LSEC,0.06490148694909159,0.05917217969908868,-0.05425121122032141,0.07656083341171778,0.85
ITGB2-AS1,LSEC,-0.0010722481549897609,0.02053777871440349,-0.02111628248637648,0.05451924944193251,0.85
ITIH4-AS1,LSEC,,,,,0.0
ITPK1-AS1,LSEC,-0.04284194870398118,-0.019829701971557007,-0.0558169388829012,0.019340079700654364,0.7
ITPKB-AS1,LSEC,0.029870793315948985,0.0007151341084526349,-0.0800424853823132,0.02493523213396088,0.5
JARID2-AS1,LSEC,0.0001685303854478258,0.014299215922385651,-0.010554198891960473,0.03982741214690776,0.8
JAZF1-AS1,LSEC,,,,,0.0
JMJD1C-AS1,LSEC,0.011326513877371052,0.016272564498028236,-0.049629827851420186,0.07035936371917008,0.7
JPX,LSEC,0.009773485752346496,0.01942689862127308,-0.06611511170686837,0.09790886571870216,0.6
KANSL1-AS1,LSEC,-0.032862435177429976,-0.036990247514891425,-0.07850855818987003,0.02640739860461413,0.8
KBTBD11-OT1,LSEC,0.04791528696428016,0.018308642214552976,-0.10121153665828954,0.04904273808634812,0.7
KCNIP2-AS1,LSEC,0.026546373142086695,0.02816338061875035,-0.001782040559672664,0.0501061819751019,0.95
KCNJ2-AS1,LSEC,0.003098707662600139,-0.003481809121629724,-0.050360760999650554,0.050970711669448866,0.6
KCNQ1-AS1,LSEC,,,,,0.0
KCNQ1OT1,LSEC,0.06083604009055805,0.04545487485042764,-0.035610309924228596,0.10471129508860343,0.75
KCNQ5-AS1,LSEC,,,,,0.0
KCTD21-AS1,LSEC,0.028381502997946343,-0.016866297253505035,-0.07669039101850769,0.02849358070711051,0.65
KDM4A-AS1,LSEC,0.009490421102111032,0.007508570090715711,-0.01969038629612006,0.06855400478664311,0.6
KIAA0087,LSEC,,,,,0.0
KIF25-AS1,LSEC,,,,,0.0
KIF9-AS1,LSEC,-0.034097468948456604,-0.03021811070333457,-0.06825394405499684,0.008921040719404735,0.95
KLHL6-AS1,LSEC,0.03152852668809654,-0.011805105375549083,-0.06390091023949965,0.02403981585544348,0.7
KMT2E-AS1,LSEC,0.02138309681500123,0.009884011115081356,-0.04547815034070825,0.04912777323898607,0.6
KRTAP5-AS1,LSEC,,,,,0.0
KTN1-AS1,LSEC,0.05636133834085805,0.04603274844962041,-0.002764980505495222,0.06409301620417901,0.9
LAMTOR5-AS1,LSEC,-0.056761603626852494,-0.003956923154061823,-0.04619295313328155,0.05314916303877762,0.55
LATS2-AS1,LSEC,0.026958644818812293,0.0068914687127264364,-0.029931459183733473,0.03522813256460936,0.65
LBX2-AS1,LSEC,-0.021507610323007856,-0.03335583982415632,-0.09759708799154847,-0.005195052245148051,1.0
LDLRAD4-AS1,LSEC,0.05581693888290119,0.0558169388829012,0.0558169388829012,0.055816939091754156,1.0
LEMD1-AS1,LSEC,-0.07204867794386248,-0.05660341689479804,-0.09629539651572479,0.022420225493562276,0.9
LENG8-AS1,LSEC,0.013745987762362747,0.02819394177006186,-0.009436785937009208,0.055862349665856376,0.85
LGALS8-AS1,LSEC,0.025460358086937387,0.0007956361902167934,-0.05557212795538681,0.017014373913866815,0.55
LIFR-AS1,LSEC,0.036572743510073086,0.0425750105736689,-0.03198031447828601,0.07598057592652237,0.8
LIMD1-AS1,LSEC,0.02630460965413169,0.024949386987707534,0.016163397252825038,0.031284334747679936,1.0
LINC-PINT,LSEC,-0.0784153026703297,-0.05166932244619515,-0.2278693268891687,0.08181319278647282,0.7
LINC-ROR,LSEC,,,,,0.0
LINC00092,LSEC,0.04389091418469991,0.05208337145380057,0.017052059734560948,0.08418513666746215,1.0
LINC00102,LSEC,,,,,0.0
LINC00106,LSEC,0.012941608768392041,0.01608650194541865,-0.014977357183106978,0.05320726853183566,0.8
LINC00114,LSEC,,,,,0.0
LINC00115,LSEC,0.003295300132346915,0.03749507336163537,-0.03977304263452404,0.06769732003069533,0.75
LINC00158,LSEC,,,,,0.0
LINC00159,LSEC,,,,,0.0
LINC00161,LSEC,,,,,0.0
LINC00174,LSEC,0.037715307456467506,0.02461307975257506,-0.009002044886959519,0.04276587413169261,0.85
LINC00184,LSEC,,,,,0.0
LINC00200,LSEC,,,,,0.0
LINC00205,LSEC,-0.011072601815238212,0.006840449016626804,-0.029108847365230263,0.03421174029986926,0.6
LINC00221,LSEC,,,,,0.0
LINC00222,LSEC,0.027191602526176063,0.05446505131358979,-0.02493794055387328,0.06451666709574831,0.9
LINC00226,LSEC,,,,,0.0
LINC00237,LSEC,,,,,0.0
LINC00240,LSEC,0.024781489160415768,0.0025545484776200787,-0.05975992446932509,0.03613953971859606,0.55
LINC00242,LSEC,,,,,0.0
LINC00261,LSEC,0.004233019438572859,0.01347864669374629,-0.008665410018464126,0.02832715132868262,0.85
LINC00265,LSEC,0.007638735798245333,-0.02457447976507412,-0.06763801155302643,0.01975347396504173,0.9
LINC00276,LSEC,-0.019829701971557,-0.011934542853251903,-0.042474732000804205,0.01383182915299964,0.8
LINC00278,LSEC,-0.012730179043468693,-0.00263171971068181,-0.05557212774744988,0.024113896841955123,0.6
LINC00298,LSEC,,,,,0.0
LINC00299,LSEC,-0.023012246732424177,0.0036109642479069852,-0.040761054052644956,0.02949974182188419,0.6
LINC00304,LSEC,,,,,0.0
LINC00305,LSEC,0.02692922489964531,0.024909533032171916,-0.028887713983255885,0.03145823090549475,0.8
LINC00309,LSEC,,,,,0.0
LINC00310,LSEC,,,,,0.0
LINC00311,LSEC,0.07507261330664905,0.06632460060956827,0.01269553660100237,0.10608410802231268,1.0
LINC00313,LSEC,0.03932665726272421,0.012430926081707516,-0.00015791391587987767,0.047665891632449296,0.95
LINC00315,LSEC,0.03843534826585741,0.033049503285928344,-0.03978180951083967,0.040516242917193634,0.75
LINC00319,LSEC,,,,,0.0
LINC00322,LSEC,,,,,0.0
LINC00323,LSEC,0.02435870797740644,-0.00703832014422548,-0.05667377785698082,0.017259185049318136,0.55
LINC00324,LSEC,0.009109462432785747,0.011346767192344929,-0.015884316377547194,0.02999238789652351,0.65
LINC00327,LSEC,,,,,0.0
LINC00330,LSEC,,,,,0.0
LINC00332,LSEC,,,,,0.0
LINC00333,LSEC,,,,,0.0
LINC00334,LSEC,,,,,0.0
LINC00336,LSEC,,,,,0.0
LINC00339,LSEC,0.06189196063718599,0.03281962074656084,-0.044428213242102735,0.0767576956080641,0.8
