gene,is_marker,mean_cp10k,var_cp10k,mean_raw,var_raw,n_detected,is_lncRNA,hvg_standard,hvg_forced
NEDD8-MDP1,False,2.5230335175243677e-05,9.711445408006064e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
NEDD8,False,2.564561115371758,10.603500079269056,0.8235436781835225,1.0244877083909099,80370.0,False,False,False
GMPR2,False,0.3381312491560642,1.4207133501076747,0.11149784673470592,0.11756460904733056,15710.0,False,False,False
TINF2,False,0.5036651467956659,2.155721918870381,0.15669347596667518,0.16488969740699688,21617.0,False,False,False
TGM1,False,0.005469795579415177,0.02151741621932349,0.0017829167731828342,0.001792859415027034,271.0,False,False,False
RABGGTA,False,0.15968089145838657,0.6473800691309349,0.05405121952818254,0.05716051366542958,7810.0,False,False,False
DHRS1,False,0.28204239140267046,1.342376049205461,0.08211249418257854,0.09065651611436201,11488.0,False,True,True
NOP9,False,0.04962355953434409,0.18631175585257462,0.017639077340569877,0.01807531065481015,2634.0,False,False,False
CIDEB,False,0.12754441180133588,0.5100722186528495,0.043891215857471536,0.04654036116505441,6370.0,False,False,False
LTB4R2,False,0.00028026792362299173,0.0008251380273333371,0.00010487745724604907,0.00010486714535248276,16.0,False,False,False
LTB4R2.1,False,0.0005553877510995746,0.002290747700737598,0.00017698070910270782,0.00017695054681402634,27.0,False,False,False
LTB4R,False,0.2844324962145793,1.4279250504297716,0.08811017376883698,0.0992778028303943,12199.0,False,True,True
ADCY4,False,0.011677318427624723,0.05981904447168065,0.003913240123493206,0.0043567941087735455,568.0,False,True,True
RP11-934B9.3,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RIPK3,False,0.08383806887827004,0.3532098280394701,0.026455338590315878,0.026883062529985218,3952.0,False,False,False
NFATC4,False,0.0005765800452284034,0.0016494004633786292,0.00030152268958239106,0.0003407630537649891,43.0,False,False,False
NYNRIN,False,0.004757432458917534,0.013615714496743337,0.0024187363577370066,0.0027537558586504486,344.0,False,False,False
CBLN3,False,0.005084479929732104,0.023534128727906764,0.0017435877267155658,0.0018323274142601088,260.0,False,False,False
KHNYN,False,0.13983443952831365,0.5975572899849019,0.04438282893831239,0.04542851810628539,6550.0,False,False,False
SDR39U1,False,0.24890709404230493,1.0563441674438865,0.077733860342556,0.08040977300566098,11218.0,False,False,False
RP11-80A15.1,False,0.000509385014518973,0.002368366236083342,0.00015076134479119553,0.00015073960388225987,23.0,False,False,False
CMA1,False,0.01836589426385857,0.49980307393217516,0.004208207971997719,0.03903629000433918,181.0,False,True,True
CTSG,False,0.12598037316710256,15.246950011197265,0.029916294679435497,1.7733285834311086,470.0,False,True,True
RP11-104E19.1,False,0.0002620247703511428,0.0010645956230400622,7.865809293453681e-05,7.865242139307533e-05,12.0,False,False,False
GZMH,False,3.84553109878801,57.46048206716334,0.9896826801434199,4.049815549093104,50108.0,False,True,True
GZMB,False,4.087501745554179,124.14289537850054,1.1654769630110318,13.936873412530229,36824.0,False,True,True
STXBP6,False,0.011445664713324026,0.08162501859356767,0.0033757431551072045,0.005946993879541681,400.0,False,True,True
RP11-89K22.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-314P15.2,False,7.687831776558577e-05,0.0003140671333148245,2.6219364311512267e-05,3.932861680503647e-05,3.0,False,False,False
NOVA1,False,0.0035386455921971173,0.015994651675268493,0.0014486198782110529,0.0021937876414669525,176.0,False,False,False
NOVA1-AS1,False,6.144676941380057e-05,0.00042968021776733443,1.3109682155756133e-05,1.3109596223309748e-05,2.0,False,False,False
RP11-626P14.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-626P14.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-384J4.2,False,5.327840105795135e-05,0.0001744410854747071,1.9664523233634202e-05,1.9664265436295045e-05,3.0,False,False,False
RP11-384J4.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
LINC00645,False,0.0,0.0,0.0,0.0,0.0,False,False,False
CTD-2591A6.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-412H8.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-966I7.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
FOXG1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
C14orf23,False,0.00723175771996408,0.029546164964418756,0.002254865330790055,0.002276015196359471,342.0,False,False,False
RP11-966I7.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-966I7.3,False,0.0,0.0,0.0,0.0,0.0,False,False,False
CTD-2384A14.1,False,0.00015032998931560905,0.0004379929843930532,5.89935697009026e-05,5.89904761328327e-05,9.0,False,False,False
RP11-148E17.1,False,5.915921550351012e-06,5.3392793778144865e-06,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
CTD-2384A14.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-260G13.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
PRKD1,False,0.0016189953349196049,0.007823982653177691,0.0006817034720993189,0.0013367316223266013,90.0,False,True,True
CTD-2503I6.1,False,0.00039551690047784794,0.0015637264118799773,0.00012454198047968327,0.00012452728603135126,19.0,False,False,False
RP11-269C4.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
CTD-2251F13.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-1103G16.1,False,0.001431958598312784,0.0055730398487297906,0.0004522840343735866,0.00045208243685436505,69.0,False,False,False
G2E3,False,0.18228341638316978,0.7648283911669121,0.058606834077307796,0.0619370750567967,8441.0,False,False,False
SCFD1,False,0.3839959484527298,1.5142534786395714,0.13141145392929948,0.14285362400939577,18122.0,False,False,False
RP11-159L20.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
