gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,label_set,lineage_name,n_cells
EZR-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM106A,-0.023393610465541177,0.20156333204628896,1.0,13.128757,False,lineage_leiden,Hepatocyte,2982
FAM138B,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM13A-AS1,0.004027735394757236,0.8259848548103744,1.0,1.5884497,False,lineage_leiden,Hepatocyte,2982
FAM182B,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM201A,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM215A,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM218A,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM222A-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM224B,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM225A,-0.007627657436922702,0.6771464564632296,1.0,12.822084,False,lineage_leiden,Hepatocyte,2982
FAM225B,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM230A,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM230C,0.026648928702219483,0.14570117834328972,1.0,12.619492,False,lineage_leiden,Hepatocyte,2982
FAM27E3,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM41C,-0.001348729372499683,0.9413126354982552,1.0,14.844668,False,lineage_leiden,Hepatocyte,2982
FAM53B-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM66B,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM66C,0.0434569065344007,0.01763435339386269,0.5388350786148434,13.399361,False,lineage_leiden,Hepatocyte,2982
FAM66D,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM66E,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM74A4,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM74A6,-0.011521273367067346,0.5294097876897228,1.0,13.313366,False,lineage_leiden,Hepatocyte,2982
FAM83A-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM83C-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM85B,0.00482300784994036,0.7923467701881207,1.0,14.169988,False,lineage_leiden,Hepatocyte,2982
FAM87A,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM87B,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FAM99B,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FARP1-AS1,-0.00035191206620921136,0.9846743387010329,1.0,13.20661,False,lineage_leiden,Hepatocyte,2982
FBXL19-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
