gene,cell_type,typeSample,n_cells,detection_rate,mean_cp10k,mean_cp10k_in_detected,pseudobulk_cp10k,n_donors
LINC00996,Mig.cDCs,citeSeq,32,0.0,0.0,,0.0,4
LINC00996,Mig.cDCs,scRnaSeq,46,0.0,0.0,,0.0,8
LINC00996,Mono+mono derived cells,citeSeq,13631,0.0011004328369158536,0.0022077703404286106,2.0062745006921596,0.003184357282169741,6
LINC00996,Mono+mono derived cells,scRnaSeq,16008,0.0019365317341329335,0.0035314539197651117,1.8235972370193514,0.0036389288143941468,11
LINC00996,Neutrophils,citeSeq,1172,0.0,0.0,,0.0,4
LINC00996,Neutrophils,scRnaSeq,4166,0.0016802688430148825,0.014249779003761686,8.480654189953027,0.011424343022753865,9
LINC00996,Plasma cells,citeSeq,519,0.06165703275529865,0.1893911518659663,3.071687744326141,0.14197421831709608,5
LINC00996,Plasma cells,scRnaSeq,604,0.13410596026490065,0.2154463409292882,1.6065381471764208,0.20347459084825828,11
LINC00996,Resident NK,citeSeq,2669,0.10753091045335332,0.5783340560635613,5.3783052112670555,0.5388799259057485,6
LINC00996,Resident NK,scRnaSeq,8224,0.19455252918287938,0.7215043265312779,3.7085322383707693,0.7054294491092153,11
LINC00996,T cells,citeSeq,45178,0.012683164372039488,0.06315499948250912,4.9794355438408315,0.061945256334119216,6
LINC00996,T cells,scRnaSeq,32165,0.021140991761231152,0.0650492378826403,3.076924612492831,0.06462397311360595,11
LINC00996,cDC1s,citeSeq,589,0.001697792869269949,0.002461639653863925,1.449905756125852,0.00493593404407493,5
LINC00996,cDC1s,scRnaSeq,591,0.001692047377326565,0.0018711128799364868,1.1058277120424638,0.0015956228872955707,11
LINC00996,cDC2s,citeSeq,1536,0.0006510416666666666,0.001925019712201853,2.9568302779420463,0.0012031773024933324,6
LINC00996,cDC2s,scRnaSeq,1093,0.0,0.0,,0.0,11
LINC00996,pDCs,citeSeq,506,0.46047430830039526,2.553802111152444,5.546025185592861,2.6894755695410844,5
LINC00996,pDCs,scRnaSeq,708,0.5522598870056498,2.195313319572178,3.9751453459260926,2.2328328619858926,10
MALAT1,B cells,citeSeq,1022,1.0,649.1237115480251,649.1237115480251,629.6344115222041,6
MALAT1,B cells,scRnaSeq,1328,1.0,611.1502569138308,611.1502569138308,578.3854599456296,11
MALAT1,Basophils,citeSeq,171,1.0,704.9593174339589,704.9593174339589,655.4449996560328,4
MALAT1,Basophils,scRnaSeq,218,1.0,1078.683643599661,1078.683643599661,949.9600016841396,9
MALAT1,Cholangiocytes,citeSeq,13,1.0,620.4492688360843,620.4492688360843,514.9630781189273,2
MALAT1,Cholangiocytes,scRnaSeq,142,1.0,354.9139507720907,354.9139507720907,369.3070860358992,6
MALAT1,Circulating NK/NKT,citeSeq,4160,1.0,689.8941866285674,689.8941866285674,679.4248622851446,6
MALAT1,Circulating NK/NKT,scRnaSeq,8407,1.0,730.0671355679042,730.0671355679042,708.4248944358463,11
MALAT1,Endothelial cells,citeSeq,93,1.0,287.3038684223253,287.3038684223253,296.4009162376582,3
